Drug,CNS,TPSA,TPSA_S,HBA,HBD,MW,nAtoms,cLogD_ACD_v15,mapKa,cLogP_Biobyte,mbpKa,cLogP_ACD_v15,ALogP98,Smiles
Metergoline,TRUE,46.5,46.5,3,1,403.51666,30,4.04,4.69,9.54,4.72,4.249,0.4,O=C(OCc1ccccc1)NC[C@@H]3C[C@@H]4c5cccc2c5c(cn2C)C[C@H]4N(C3)C
Metformin,TRUE,88.99,88.99,2,4,129.16364,9,-4.3,-1.63,13.1,-2.31,-0.547,0.5,CN(C)C(=N)NC(=N)N
Methamphetamine,TRUE,12.03,12.03,1,1,149.2328,11,-0.79,1.89,10.38,1.94,2.066,0.4,N(C(Cc1ccccc1)C)C
Metharbital,TRUE,66.48,66.48,3,1,198.21906,14,1.13,1.14,1.18,1.669,0.67,0,O=C1N(C(=O)NC(=O)C1(CC)CC)C
Methdilazine,TRUE,6.48,31.78,3,0,296.4298,21,2.42,4.51,10.09,4.91,4.112,0.33,S2c1ccccc1N(c3c2cccc3)CC4CCN(C)C4
Methixene,TRUE,3.24,28.54,2,0,309.46831,22,3.43,5.84,9.81,5.46,5.073,0.4,C1=CC=CC3=C1C(C2=C(C=CC=C2)S3)CC4CN(CCC4)C
Methocarbamol,TRUE,91.01,91.01,5,2,241.2405,17,0.55,0.15,0.55,0.916,0.36,1,O=C(OCC(O)COc1ccccc1OC)N
Methylergonovine,TRUE,68.36,68.36,3,3,339.43139,25,1.39,1.76,7.69,1.68,2.063,0.45,CC[C@@H](CO)NC(=O)[C@@H]2/C=C1/c3cccc4N\C=C(\C[C@H]1N(C)C2)c34
Methyprylon,TRUE,46.17,46.17,2,1,183.24748,13,0.23,1.78,0.23,1.473,0.8,0,C(C1(C(C(CNC1=O)C)=O)CC)C
Metoclopramide,TRUE,67.58,67.58,4,2,299.79638,20,0.35,2.23,9.65,2.22,1.775,0.5,Clc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC
Metoprolol,TRUE,50.72,50.72,4,2,267.3639,19,-0.31,1.49,9.45,1.79,1.757,0.6,O(c1ccc(cc1)CCOC)CC(O)CNC(C)C
Metyrapone,TRUE,42.85,42.85,3,0,226.27376,17,1.19,1.46,4.61,1.19,1.847,0.21,O=C(c1cccnc1)C(c2cccnc2)(C)C
Mexiletine,TRUE,35.25,35.25,2,1,179.25878,13,0.96,2.57,8.58,2.16,2.334,0.45,O(c1c(cccc1C)C)CC(N)C
Mifepristone,TRUE,40.54,40.54,3,1,429.59369,32,4.94,4.65,5.49,4.95,5.655,0.55,O=C5\C=C4/C(=C3/[C@@H](c1ccc(N(C)C)cc1)C[C@]2([C@@H](CC[C@]2(C#CC)O)[C@@H]3CC4)C)CC5
Minaprine,TRUE,50.28,50.28,5,1,298.38278,22,1.71,3.19,7.09,1.83,2.819,0.41,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3
Mirtazapine,TRUE,19.37,19.37,3,0,265.35286,20,2.15,3.32,8.1,2.75,3.094,0.35,n1cccc3c1N4C(c2ccccc2C3)CN(C)CC4
Moclobemide,TRUE,41.57,41.57,3,1,268.73928,18,0.77,2.17,6.89,0.84,1.528,0.46,Clc1ccc(cc1)C(=O)NCCN2CCOCC2
Molindone,TRUE,45.33,45.33,3,1,276.37396,20,1.89,2.57,6.89,1.96,2.14,0.69,O=C2c1c(c(nc1CCC2CN3CCOCC3)C)CC
Nabilone,TRUE,46.53,46.53,3,1,372.54083,27,7.05,6.72,7.05,6.055,0.71,1,O=C3CC[C@@H]1[C@H](c2c(OC1(C)C)cc(cc2O)C(C)(C)CCCCCC)C3
Nalmefene,TRUE,52.93,52.93,4,2,339.4281,25,2.09,2.64,7.68,2.65,2.82,0.62,OC(C1=C2[C@@]34[C@H]5O1)=CC=C2C[C@@H](N(CC4)CC6CC6)[C@]3(O)CCC5=C
Naloxegol,TRUE,126.77,126.77,12,2,651.78472,46,-1.14,0.44,6.51,-1.07,0.952,0.76,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@]2([C@H]3Cc4ccc(c5c4[C@]2([C@H]1O5)CCN3CC=C)O)O
Naratriptan,TRUE,65.2,73.58,3,2,335.46429,23,-0.65,1.7,9.63,1.35,2.054,0.53,O=S(=O)(NC)CCc3ccc1c(c(cn1)C2CCN(C)CC2)c3
Nebivolol,TRUE,70.95,70.95,5,3,405.435,29,2.34,3.5,8.65,3.67,3.557,0.45,Fc4cc1c(OC(CC1)C(O)CNCC(O)C3Oc2ccc(F)cc2CC3)cc4
Nefazodone,TRUE,51.62,51.62,5,0,470.00687,33,3.29,6.23,8.25,3.5,4.415,0.44,Clc4cccc(N3CCN(CCCN1/N=C(\N(C1=O)CCOc2ccccc2)CC)CC3)c4
Nemonapride,TRUE,53.6,53.6,4,2,387.90304,27,2.02,4.2,8.36,3.08,3.504,0.38,CC1C(CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl
Nicardipine,TRUE,113.69,113.69,8,1,479.52495,35,4.88,5.23,7.3,5.13,3.488,0.31,O=C(OCCN(Cc1ccccc1)C)\C2=C(\N/C(=C(/C(=O)OC)C2c3cccc([N+]([O-])=O)c3)C)C
Nicergoline,TRUE,56.59,56.59,5,0,484.38553,31,4.3,4.07,7.78,4.34,3.461,0.42,Brc1cc(cnc1)C(=O)OC[C@@H]3C[C@]4(OC)c5cccc2c5c(cn2C)C[C@H]4N(C3)C
Nicotine,TRUE,16.13,16.13,2,0,162.23155,12,-0.47,0.88,8,0.72,1.242,0.5,CN(CCC1)[C@@H]1C2=CC=CN=C2
Nifedipine,TRUE,110.44,110.44,7,1,346.33462,25,2.97,3.12,2.69,2.97,1.766,0.29,O=C(OC)\C1=C(\N/C(=C(/C(=O)OC)C1c2ccccc2[N+]([O-])=O)C)C
Nortriptyline,TRUE,12.03,12.03,1,1,263.37674,20,3.17,4.32,10,5.65,4.236,0.26,c3cc2c(/C(c1c(cccc1)CC2)=C/CCNC)cc3
Noscapine,TRUE,75.69,75.69,8,0,413.42051,30,2.79,2.27,6.32,2.83,3.012,0.41,O=C2O[C@@H](c1ccc(OC)c(OC)c12)[C@@H]5N(C)CCc4c5c(OC)c3OCOc3c4
Ondansetron,TRUE,39.82,39.82,2,0,293.36296,22,1.72,2.72,7.5,2.07,2.634,0.33,O=C3c2c1ccccc1n(c2CCC3Cn4ccnc4C)C
Ospemifene,TRUE,29.46,29.46,2,1,378.89121,27,6.98,5.56,6.98,5.62,0.17,3,ClCC/C(C1=CC=CC=C1)=C(C2=CC=CC=C2)/C3=CC=C(C=C3)OCCO
Oxprenolol,TRUE,50.72,50.72,4,2,265.34802,19,0.18,2.09,9.45,2.29,2.232,0.47,O(c1ccccc1OC\C=C)CC(O)CNC(C)C
Oxybate,TRUE,57.53,57.53,3,2,104.10452,7,-3.41,4.67,-0.58,-0.7,-0.308,0.75,O=C(O)CCCO
Oxybutynin,TRUE,49.77,49.77,4,1,357.48643,26,4.29,4.87,8.24,5.19,4.646,0.59,O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C2CCCCC2
Oxyphencyclimine,TRUE,62.13,62.13,5,1,344.44792,25,2.7,4.45,10.91,4.69,2.626,0.6,C3=C(C(C1CCCCC1)(C(OCC2=NCCCN2C)=O)O)C=CC=C3
Palonosetron,TRUE,23.55,23.55,2,0,296.40665,22,0.81,2.18,9.77,2.61,2.745,0.63,O=C5N([C@H]2C1CCN(CC1)C2)C[C@@H]4c3c5cccc3CCC4
Panobinostat,TRUE,77.15,77.15,3,4,349.42622,26,1.63,2.64,9.29,3.62,3.027,0.19,O=C(NO)\C=C\c1ccc(cc1)CNCCc3c2ccccc2nc3C
Paramethadione,TRUE,46.61,46.61,3,0,157.16713,11,0.84,0.41,0.84,1.537,0.71,0,O=C1N(C(=O)OC1(C)CC)C
Paroxetine,TRUE,39.72,39.72,4,1,329.3654,24,1.67,4.24,9.68,3.89,3.229,0.37,c1cc(ccc1[C@@H]2CCNC[C@H]2COc3ccc4c(c3)OCO4)F
Pazopanib,TRUE,119.03,127.41,7,2,437.51801,31,1.96,3.65,6.39,1.98,3.741,0.19,O=S(=O)(N)c1c(ccc(c1)Nc2nccc(n2)N(c4ccc3c(nn(c3C)C)c4)C)C
Penbutolol,TRUE,41.48,41.48,3,2,291.42835,21,2,3.64,9.77,4.17,3.572,0.67,O[C@@H](CNC(C)(C)C)COc1ccccc1C2CCCC2
Pentazocine,TRUE,23.47,23.47,2,1,285.42378,21,3,4.67,8.94,4.54,4.373,0.58,Oc1ccc3c(c1)[C@]2([C@H]([C@H](N(CC2)C\C=C(/C)C)C3)C)C
Pentoxifylline,TRUE,75.51,75.51,4,0,278.30702,20,0.32,0.12,0.32,1.032,0.54,1,O=C2N(c1ncn(c1C(=O)N2CCCCC(=O)C)C)C
Perampanel,TRUE,56.99,56.99,3,0,349.3847,27,3.7,4.17,4.73,3.7,3.572,0,N#Cc2ccccc2-c1cc(-c4ncccc4)cn(c1=O)-c3ccccc3
Pergolide,TRUE,19.03,44.33,2,1,314.48813,22,3.09,4.4,9.66,4.49,4.11,0.58,S(C)C[C@@H]2C[C@@H]3c4cccc1c4c(cn1)C[C@H]3N(C2)CCC
Perindopril,TRUE,95.94,95.94,6,2,368.46777,26,-0.19,3.15,1.21,5.67,3.36,2.437,O=C(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@H]12)C)CCC
Phenacemide,TRUE,72.19,72.19,2,2,178.1879,13,0.87,0.87,0.87,0.841,0.11,1,O=C(NC(=O)N)Cc1ccccc1
Phenelzine,TRUE,38.04,38.04,2,2,136.19428,10,0.33,1.03,8.01,1.14,1.307,0.25,N(N)CCc1ccccc1
Phenmetrazine,TRUE,21.26,21.26,2,1,177.2429,13,0.33,1.67,8.58,1.53,1.461,0.45,CC1C(C2=CC=CC=C2)OCCN1
Phenobarbital,TRUE,75.27,75.27,3,2,232.23528,17,1.45,7.31,1.36,1.67,1.709,0.25,O=C1NC(=O)NC(=O)C1(c2ccccc2)CC
Phenoxybenzamine,TRUE,12.47,12.47,2,0,303.82638,21,4.72,4.92,6.58,4.78,4.578,0.33,ClCCN(C(COc1ccccc1)C)Cc2ccccc2
Phenylpropanolamine,TRUE,46.25,46.25,2,2,151.20562,11,-1.07,0.58,8.47,0.81,0.802,0.33,O[C@H](c1ccccc1)[C@@H](N)C
Phenytoin,TRUE,58.2,58.2,2,2,252.26798,19,2.49,2.08,2.52,2.299,0.07,2,O=C2NC(=O)NC2(c1ccccc1)c3ccccc3
Pimozide,TRUE,35.58,35.58,2,1,461.54616,34,4.99,6.4,9.67,6.38,5.521,0.32,Fc1ccc(cc1)C(c2ccc(F)cc2)CCCN5CCC(N4c3ccccc3NC4=O)CC5
Pioglitazone,TRUE,68.29,93.59,5,1,356.4387,25,1.89,6.35,3.53,5.53,2.94,4.102,O=C1NC(=O)SC1Cc3ccc(OCCc2ncc(cc2)CC)cc3
Pirfenidone,TRUE,20.31,20.31,1,0,185.22184,14,1.82,2.4,1.82,1.905,0.08,1,CC1=CN(C(=O)C=C1)C2=CC=CC=C2
Pramipexole,TRUE,50.94,79.17,3,2,211.32708,14,-0.54,1.17,9.47,1.42,1.713,0.7,[C@H]2(CCC1=C(SC(=N1)N)C2)NCCC
Prasugrel,TRUE,46.61,74.84,4,0,373.4411,26,3.17,3.43,4.07,3.17,3.988,0.4,CC(=O)Oc1cc2c(s1)CCN(C2)C(c3ccccc3F)C(=O)C4CC4
Praziquantel,TRUE,40.62,40.62,2,0,312.40605,23,2.44,3.36,2.44,2.477,0.58,1,O=C4N2C(c1c(cccc1)CC2)CN(C(=O)C3CCCCC3)C4
Procainamide,TRUE,58.36,58.36,3,2,235.32534,17,-0.79,1.42,9.86,1.1,1.127,0.46,O=C(c1ccc(N)cc1)NCCN(CC)CC
Procarbazine,TRUE,53.16,53.16,3,3,221.29875,16,0.08,-0.08,7.85,0.77,1.515,0.42,O=C(c1ccc(cc1)CNNC)NC(C)C
Prochlorperazine,TRUE,9.72,35.02,4,0,373.94265,25,4,4.38,8.64,4.61,4.697,0.4,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(C)CC4
Propofol,TRUE,20.23,20.23,1,1,178.27072,13,4.16,3.93,4.16,3.976,0.5,1,OC1=C(C(C)C)C=CC=C1C(C)C
Propranolol,TRUE,41.48,41.48,3,2,259.34344,19,0.98,2.75,9.43,3.1,2.54,0.38,CC(NCC(O)COC1=C(C=CC=C2)C2=CC=C1)C
Pseudoephedrine,TRUE,32.26,32.26,2,2,165.2322,12,-0.96,0.89,9.38,1.05,1.234,0.4,O[C@@H](c1ccccc1)[C@@H](NC)C
Pyrazinamide,TRUE,68.87,68.87,3,1,123.1127,9,-0.37,-0.68,-0.37,-1.041,0,1,O=C(N)c1nccnc1
Pyrilamine,TRUE,28.6,28.6,4,0,285.38402,21,0.84,3.23,9.02,2.75,3.086,0.35,O(c1ccc(cc1)CN(c2ncccc2)CCN(C)C)C
Pyrimethamine,TRUE,77.81,77.81,4,2,248.71142,17,2.55,3,6.78,2.75,2.75,0.17,Clc2ccc(c1c(nc(nc1CC)N)N)cc2
Quetiapine,TRUE,48.3,73.6,6,1,383.50709,27,1.48,2.99,6.76,1.56,2.656,0.38,N\1=C(\c3c(Sc2c/1cccc2)cccc3)N4CCN(CCOCCO)CC4
Ramelteon,TRUE,38.33,38.33,2,1,259.34344,19,2.57,2.48,2.57,2.826,0.56,1,CCC(NCC[C@@H]1CCC2=CC=C3OCCC3=C12)=O
Rasagiline,TRUE,12.03,12.03,1,1,171.23832,13,2.14,2.52,7.49,2.27,3.119,0.33,C#CCN[C@H]2c1ccccc1CC2
Reboxetine,TRUE,39.72,39.72,4,1,313.39082,23,1.8,3.26,8.37,2.82,3.077,0.37,CCOC1=C(C=CC=C1)O[C@@H]([C@@H]2OCCNC2)C3=CC=CC=C3
Remifentanil,TRUE,76.15,76.15,6,0,376.44671,27,2,1.96,6.56,2.05,1.666,0.55,O=C(OC)C2(N(c1ccccc1)C(=O)CC)CCN(CCC(=O)OC)CC2
Riluzole,TRUE,48.14,76.38,3,1,234.1983,15,2.84,3.23,3.41,2.84,4.159,0.12,FC(F)(F)Oc1ccc2nc(sc2c1)N
Rimantadine,TRUE,26.02,26.02,1,1,179.30184,13,0.19,3.96,10.76,3.1,2.204,1,NC(C)C13CC2CC(CC(C1)C2)C3
Rimonabant,TRUE,50.16,50.16,3,1,463.78734,30,6.01,6.47,3.22,6.01,7.001,0.27,O=C(NN1CCCCC1)c4nn(c2ccc(Cl)cc2Cl)c(c3ccc(Cl)cc3)c4C
Risperidone,TRUE,61.94,61.94,4,0,410.48448,30,2.09,2.71,8.21,2.88,3.317,0.52,Cc1c(c(=O)n2c(n1)CCCC2)CCN3CCC(CC3)c4c5ccc(cc5on4)F
Rivastigmine,TRUE,32.78,32.78,3,0,250.33668,18,0.93,2.1,8.62,2.14,2.599,0.5,O=C(Oc1cc(ccc1)[C@@H](N(C)C)C)N(CC)C
Rizatriptan,TRUE,49.74,49.74,3,1,269.34486,20,-0.97,1.18,9.49,0.96,2.067,0.33,n1cn(nc1)Cc2cc3c(cc2)ncc3CCN(C)C
Rofecoxib,TRUE,60.44,68.81,4,0,314.35566,22,1.34,1.8,1.34,2.871,0.12,2,O=C2OCC(=C2\c1ccccc1)\c3ccc(cc3)S(=O)(=O)C
Ropinirole,TRUE,32.34,32.34,2,1,260.37456,19,1.2,2.8,9.45,3.19,2.959,0.56,O=C2Nc1cccc(c1C2)CCN(CCC)CCC
Ropivacaine,TRUE,32.34,32.34,2,1,274.40114,20,2.72,3.16,8.36,3.1,3.854,0.59,O=C(Nc1c(cccc1C)C)[C@H]2N(CCC)CCCC2
Rufinamide,TRUE,73.8,73.8,3,1,238.19352,17,0.05,0.51,0.05,1.437,0.1,2,O=C(c1nnn(c1)Cc2c(F)cccc2F)N
Saxagliptin,TRUE,90.35,90.35,4,2,315.40999,23,-1.04,-0.02,8.3,-0.14,0.275,0.89,O=C(N1[C@H](C#N)C[C@@H]2C[C@H]12)[C@@H](N)C35CC4CC(C3)CC(O)(C4)C5
Selegiline,TRUE,3.24,3.24,1,0,187.28078,14,2.58,3.02,7.53,2.95,3.794,0.38,C#CCN([C@@H](Cc1ccccc1)C)C
Sertindole,TRUE,40.51,40.51,2,1,440.94084,31,4.08,5.27,9.1,5.26,4.68,0.38,Fc1ccc(cc1)n3c2ccc(Cl)cc2c(c3)C5CCN(CCN4C(=O)NCC4)CC5
Sertraline,TRUE,12.03,12.03,1,1,306.22958,20,2.77,5.35,9.47,4.81,4.996,0.29,ClC1=CC=C([C@H]2C3=C([C@H](CC2)NC)C=CC=C3)C=C1Cl
Sulindac,TRUE,54.37,73.58,3,1,356.41058,25,0.55,4.26,3.16,3.59,3.639,0.15,O=S(c1ccc(cc1)\C=C3/c2ccc(F)cc2\C(=C3C)CC(=O)O)C
Suvorexant,TRUE,80.29,80.29,5,0,450.92071,32,3.62,5.4,4.12,3.62,4.108,0.3,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl
Tacrine,TRUE,38.9,38.9,2,1,198.26366,15,1.26,3.27,9.64,3.32,2.789,0.31,n1c3c(c(c2c1cccc2)N)CCCC3
Tadalafil,TRUE,74.87,74.87,4,1,389.40396,29,1.43,2.58,1.43,2.183,0.27,3,O=C1N(CC(N2[C@@H]1CC3=C([C@H]2C4=CC5=C(OCO5)C=C4)NC6=C3C=CC=C6)=O)C
Talipexole,TRUE,42.15,70.38,3,1,209.3112,14,1.02,1.14,7.22,1.2,1.644,0.5,n1c2c(sc1N)CCN(CC2)C\C=C
Tamoxifen,TRUE,12.47,12.47,2,0,371.51455,28,6.58,6.82,8.69,7.88,6.319,0.23,O(c1ccc(cc1)/C(c2ccccc2)=C(\c3ccccc3)CC)CCN(C)C
Tapentadol,TRUE,23.47,23.47,2,1,221.33852,16,1.21,3.15,9.45,3.22,3.466,0.57,Oc1cc(ccc1)[C@@H]([C@@H](C)CN(C)C)CC
Tasimelteon,TRUE,38.33,38.33,2,1,245.31686,18,1.75,1.89,1.75,2.203,0.53,1,CCC(=O)NC[C@@H]1C[C@H]1C2=C3CCOC3=CC=C2
Telmisartan,TRUE,72.94,72.94,4,1,514.61689,39,4.74,3.83,7.29,5.87,7.73,7.799,O=C(O)c1ccccc1c2ccc(cc2)Cn3c4cc(cc(c4nc3CCC)C)c5nc6ccccc6n5C
Temozolomide,TRUE,105.94,105.94,5,1,194.15083,14,-1.31,-0.81,-1.31,5.20E-02,0.17,1,O=C(c1ncn2C(=O)N(\N=N/c12)C)N
Terbinafine,TRUE,3.24,3.24,1,0,291.42989,22,6.49,5.96,6.92,6.61,5.335,0.33,C(#C\C=C\CN(C)Cc2cccc1ccccc12)C(C)(C)C
Terguride,TRUE,51.37,51.37,2,2,340.46252,25,2.65,2.78,9.78,3.31,2.65,0.55,CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C
Teriflunomide,TRUE,73.12,73.12,3,2,270.20726,19,0.08,5.2,2.13,2.51,2.091,0.17,O=C(Nc1ccc(cc1)C(F)(F)F)C(/C#N)=C(/C)O
Tetrabenazine,TRUE,38.77,38.77,4,0,317.42257,23,3.43,3.46,6.46,3.48,3.365,0.63,O=C3C(CC(C)C)CN2C(c1c(cc(OC)c(OC)c1)CC2)C3
Thiopental,TRUE,61.69,93.78,4,2,242.33782,16,-0.92,1.85,10.72,2.38,3.12,0.73,O=C1NC(=S)/N=C(/O)C1(C(C)CCC)CC
Thiothixene,TRUE,43.86,77.53,5,0,443.62525,30,3.42,3.23,8.17,3.94,3.533,0.39,O=S(=O)(N(C)C)c2cc1C(\c3c(Sc1cc2)cccc3)=C/CCN4CCN(C)CC4
Tiagabine,TRUE,40.54,97.02,3,1,375.54799,25,3.18,3.86,2.77,9.48,5.68,4.832,O=C(O)[C@H]1CN(CCC1)CC/C=C(/c2sccc2C)c3sccc3C
Tianeptine,TRUE,86.71,95.09,5,2,436.95219,29,0.02,4.75,1.52,7.47,2.56,3.927,Clc1cc2c(cc1)C(c3c(N(C)S2(=O)=O)cccc3)NCCCCCCC(=O)O
Timolol,TRUE,79.74,107.98,7,2,316.41966,21,-1.2,1.72,9.57,0.68,1.127,0.85,O[C@H](COc1nsnc1N2CCOCC2)CNC(C)(C)C
Tizanidine,TRUE,62.2,90.44,5,2,253.71131,16,0.31,2.09,8.67,0.65,1.817,0.22,Clc1ccc3nsnc3c1NC/2=N/CCN\2
Tocainide,TRUE,55.12,55.12,2,2,192.25754,14,0.32,0.26,8.1,0.76,1.445,0.36,O=C(Nc1c(cccc1C)C)C(N)C
Tolcapone,TRUE,103.35,103.35,5,2,273.24084,20,1.8,4.78,3.25,4.07,3.13,0.07,[O-][N+](=O)c2cc(C(=O)c1ccc(cc1)C)cc(O)c2O
Tolmetin,TRUE,59.3,59.3,3,1,257.28449,19,-1.52,4.22,2.21,1.55,3.267,0.2,O=C(c1ccc(n1C)CC(=O)O)c2ccc(cc2)C
Topotecan,TRUE,103.2,103.2,7,2,421.44581,31,0.44,0.73,7.65,1.08,1.577,0.35,O=C\1N4\C(=C/C2=C/1COC(=O)[C@]2(O)CC)c3nc5c(cc3C4)c(c(O)cc5)CN(C)C
Tramadol,TRUE,32.7,32.7,3,1,263.37519,19,0.49,3.1,9.61,2.51,2.7,0.62,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
Tranylcypromine,TRUE,26.02,26.02,1,1,133.19034,10,0.36,1.48,8.78,1.25,1.193,0.33,c1cccc(c1)[C@@H]2C[C@H]2N
Trazodone,TRUE,42.39,42.39,4,0,371.86388,26,1.49,4.35,8.11,1.66,2.418,0.37,Clc4cccc(N3CCN(CCCN1/N=C2/C=C\C=C/N2C1=O)CC3)c4
Trimipramine,TRUE,6.48,6.48,2,0,294.43383,22,3.21,5.44,9.38,5.15,4.836,0.4,c1cc3c(cc1)CCc2c(cccc2)N3CC(C)CN(C)C
Triprolidine,TRUE,16.13,16.13,2,0,278.39138,21,2.7,3.63,8.99,4.22,4.075,0.32,n3c(\C(=C\CN1CCCC1)c2ccc(cc2)C)cccc3
Troglitazone,TRUE,84.86,110.16,6,2,441.53987,31,3.94,6.34,5.58,4.99,5.876,0.42,O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)C)cc4
Tropisetron,TRUE,45.33,45.33,3,1,284.35289,21,1.04,2.88,10,3.55,2.608,0.47,CN4[C@@H]1CC[C@H]4C[C@H](C1)OC(=O)c3cnc2ccccc23
Valdecoxib,TRUE,86.19,94.57,3,1,314.35895,22,1.7,1.83,1.71,2.6,0.06,3,O=S(=O)(N)c3ccc(c2c(onc2c1ccccc1)C)cc3
Valproic,TRUE,37.29,37.29,2,1,144.21143,10,0.16,4.82,2.76,2.72,2.749,0.88,O=C(O)C(CCC)CCC
Varenicline,TRUE,37.81,37.81,3,1,211.26242,16,-1.33,0.9,9.6,0.74,1.038,0.38,n1c2cc3c(cc2ncc1)[C@@H]4CNC[C@H]3C4
Vilazodone,TRUE,102.29,102.29,4,2,441.52487,33,4.58,8.57,3.98,4.536,0.31,4,N#Cc1ccc2c(c1)c(cn2)CCCCN5CCN(c4cc3c(oc(c3)C(=O)N)cc4)CC5
Vinpocetine,TRUE,34.47,34.47,3,0,350.45403,26,4.54,4.83,7.8,5.14,4.294,0.5,O=C(OCC)C=4n1c3c(c2ccccc12)CCN5[C@H]3[C@](C=4)(CCC5)CC
Voriconazole,TRUE,76.72,76.72,5,1,349.31046,25,0.93,0.52,2.72,0.93,2.072,0.25,Fc1cncnc1[C@@H]([C@@](O)(c2ccc(F)cc2F)Cn3ncnc3)C
Vorinostat,TRUE,78.43,78.43,3,3,264.3202,19,0.86,0.99,0.86,1.838,0.43,1,O=C(Nc1ccccc1)CCCCCCC(=O)NO
Vortioxetine,TRUE,15.27,40.57,3,1,298.44568,21,3.08,5.42,8.85,4.26,4.504,0.33,CC(C=C(C)C=C1)=C1SC2=C(N3CCNCC3)C=CC=C2
Zaleplon,TRUE,74.28,74.28,4,0,305.33389,23,0.86,1.44,0.86,1.865,0.18,3,O=C(C)N(CC)C1=CC=CC(C2=CC=NC3=C(C=NN23)C#N)=C1
Ziprasidone,TRUE,48.47,76.71,4,1,412.93564,28,3.19,4.71,8.41,4,4.214,0.33,O=C5Nc1c(cc(c(Cl)c1)CCN4CCN(c3nsc2ccccc23)CC4)C5
Zolmitriptan,TRUE,57.36,57.36,3,2,287.35683,21,-0.29,1.29,9.52,1.64,2.457,0.44,O=C1OC[C@@H](N1)Cc2ccc3c(c2)c(cn3)CCN(C)C
Zolpidem,TRUE,37.61,37.61,2,0,307.38953,23,3.01,3.03,6.25,3.07,3.628,0.26,O=C(CC1=C(C2=CC=C(C)C=C2)N=C3C=CC(C)=CN13)N(C)C
Zonisamide,TRUE,86.19,94.57,3,1,212.22571,14,-0.1,-0.36,-0.1,0.411,0.12,2,O=S(=O)(N)Cc2noc1ccccc12
