denomination;categorie;avant_montant;conv_montant;remu_montant
SURGIVISIO;Académies, Fondation, sociétés savantes, organismes de conseils;54954;;
B.R.A. SAS;Professionnel de santé;54565;0;
vetoquinol;Vétérinaire;54222;0;46094
Penumbra, Inc.;Association professionnel de santé;53000;6500;6500
IXAIR;Professionnel de santé;52945;;
ALLERGAN FRANCE;Association professionnel de santé;52900;0;51750
OptiMed SARL;Professionnel de santé;52765;58081;
LABORATOIRES BOUCHARA - RECORDATI;Association professionnel de santé;52430;5879;232734
LABORATOIRES ALCON;Association professionnel de santé;52400;53846;122524
IPSEN CONSUMER HEALTHCARE;Professionnel de santé;52240;3474;3100
EFFIK;Professionnel de santé;52031;0;
laboratoire BAUSCH&LOMB;Académies, Fondation, sociétés savantes, organismes de conseils;51930;;
EDAP TMS France SAS;Professionnel de santé;51871;287500;56650
BIOCODEX;Académies, Fondation, sociétés savantes, organismes de conseils;51500;1939794;
ORIGIO France;Professionnel de santé;50989;;
MERCK SERONO;Association professionnel de santé;50500;161495;161495
HENRY SCHEIN FRANCE SCA;Professionnel de santé;50419;46600;800
YPSOMED SAS;Professionnel de santé;50362;38442;4300
ELIVIE;Académies, Fondation, sociétés savantes, organismes de conseils;50000;7580;7580
Genzyme;Association usager de santé;50000;;16172
GILEAD SCIENCES;Personnes morales assurant la formation initiale ou continue des professionnels de santé;50000;3251023;
LVL MEDICAL EST;Académies, Fondation, sociétés savantes, organismes de conseils;50000;50000;
MicroVention Europe;Académies, Fondation, sociétés savantes, organismes de conseils;50000;8042;
Tesaro Bio France SAS;Etablissement de santé;50000;49444;173653
CORIN FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;49944;49944;7750
MEDARTIS SARL;Professionnel de santé;49788;0;
MED OUEST;Professionnel de santé;49752;9630;
PHYSIOL FRANCE;Professionnel de santé;49589;1320;92700
Ultradent Products GmbH;Personnes morales assurant la formation initiale ou continue des professionnels de santé;49523;52491;
ICARE;Professionnel de santé;49485;;
LVL MEDICAL EST;Professionnel de santé;49438;45302;
SERF;Personnes morales assurant la formation initiale ou continue des professionnels de santé;49420;;
Alnylam France SAS;Professionnel de santé;49199;90249;126743
LivaNova SAS;Association professionnel de santé;48760;66200;
CIS BIO INTERNATIONAL;Professionnel de santé;48631;44133;
BECKMAN COULTER FRANCE;Professionnel de santé;48049;2150;
Guerbet;Etudiant;48000;;
CONMED France;Professionnel de santé;47855;0;8250
Labvoratoire CHAUVIN;Académies, Fondation, sociétés savantes, organismes de conseils;47731;;
INC RESEARCH, LLC;Professionnel de santé;47620;0;
GRIFOLS France;Professionnel de santé;47613;0;19401
MERZ PHARMACEUTICALS GmbH;Professionnel de santé;47540;11048;15250
STALLERGENES;Association professionnel de santé;47400;0;75430
MSD VACCINS;Académies, Fondation, sociétés savantes, organismes de conseils;47150;9550;202412
COSMETIQUE ACTIVE FRANCE;Etudiant;47144;;
HD MEDICAL;Professionnel de santé;47105;;
Isis Méditerranée;Professionnel de santé;47064;1500;
TELEFLEX MEDICAL SAS;Association professionnel de santé;46741;8871;
PHYSIOL FRANCE;Association professionnel de santé;46616;;
ADEP ASSISTANCE;Professionnel de santé;46556;0;
ASTELLAS PHARMA;Etudiant;46449;831;831
AMPLITUDE;Professionnel de santé;46241;0;82870
ADDMEDICA;Etablissement de santé;45915;0;113122
Arthrex SAS;Etudiant;45484;300;
Alnylam France SAS;Association professionnel de santé;45000;73231;62648
FERRING SAS;Académies, Fondation, sociétés savantes, organismes de conseils;45000;0;26960
VITALAIRE;Etablissement de santé;45000;50000;
SADIR ASSISTANCE;Professionnel de santé;44922;9767;
TRB CHEMEDICA;Professionnel de santé;44868;;
BOSTON SCIENTIFIC SAS;Etudiant;44826;0;
symbios sas;Professionnel de santé;44644;9913;
Ventiléa;Professionnel de santé;44401;2910;
SOS OXYGENE NORD JOLY MEDICAL;Professionnel de santé;44324;0;
VITALAIRE;Association usager de santé;44050;36050;
A.MENARINI diagnostics;Etablissement de santé;44027;;
laboratoire TVM;Vétérinaire;43945;22564;23641
FCI SAS;Professionnel de santé;43933;0;
Weleda S.A.;Association usager de santé;43780;0;
SOS OXYGENE ILE DE France EST;Association professionnel de santé;43700;;
Dräger France SAS;Professionnel de santé;43207;49133;10920
Bayer HealthCare SAS;Association professionnel de santé;43106;318486;1090478
THERABEL LUCIEN PHARMA;Professionnel de santé;42986;;
Merit Medical France;Professionnel de santé;42749;81863;32950
BIOPROTEC;Association professionnel de santé;42707;0;
BBGR SAS;Professionnel de santé;42656;162;
ROCHE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;42611;259905;444897
ADVANCED BIONICS SARL;Professionnel de santé;42511;45759;12700
Laboratoire CCD;Association professionnel de santé;42437;9600;18950
BALT INTERNATIONAL;Association professionnel de santé;42400;0;
Amplifon Groupe France;Etudiant;42154;;
SIVANTOS;Professionnel de santé;41733;;
DJO France SAS;Etablissement de santé;41578;0;
Dentsply Gac Europe;Professionnel de santé;41519;;
BRACCO IMAGING FRANCE;Etudiant;41500;;
SANTEN;Etablissement de santé;41422;0;
BIOTECH DENTAL;Professionnel de santé;41262;138550;
BALT;Académies, Fondation, sociétés savantes, organismes de conseils;41000;21000;
YPSOMED SAS;Association usager de santé;41000;;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Professionnel de santé;40868;0;11800
VASCUTEK FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;40842;;
BOIRON;Etudiant;40753;0;
HEMOTECH;Association professionnel de santé;40624;;
Baxter SAS;Académies, Fondation, sociétés savantes, organismes de conseils;40600;0;69328
PROCTER & GAMBLE FRANCE;Professionnel de santé;40440;;
GAMIDA;Professionnel de santé;40409;35909;
BARD FRANCE SAS;Etudiant;40199;0;
ALFASIGMA FRANCE;Professionnel de santé;40029;44942;46110
STERIS;Académies, Fondation, sociétés savantes, organismes de conseils;40000;;
LVL MEDICAL PARIS ET NORD;Association professionnel de santé;39550;60305;
AERIS Medical SAS;Professionnel de santé;39406;1916;
MYLAN MEDICAL SAS;Etudiant;39181;0;500
GUERBET France;Etablissement de santé;38910;;
TOSHIBA MEDICAL FRANCE;Professionnel de santé;38843;10250;
S.O.S OXYGENE ILE DE France;Professionnel de santé;38760;0;
SERF;Etudiant;38754;0;
Idorsia Pharmaceuticals Ltd.;Professionnel de santé;38718;0;38918
LivaNova SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;38619;48954;
CERP ROUEN;Professionnel de santé;38567;;
Guerbet;Professionnel de santé;38503;46452;115973
Actelion Pharmaceuticals France;Professionnel de santé;38490;14264;12833
BIOTRONIK FRANCE SAS;Etudiant;38313;0;
SANOFI AVENTIS FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;38080;0;179687
RESMED SAS;Association professionnel de santé;38000;0;3850
Weleda S.A.;Etablissement de santé;37801;0;
DJO France SAS;Presse et média;37756;0;
EDWARDS LIFESCIENCES SUISSE;Etudiant;37682;0;
PLUS PHARMACIE;Professionnel de santé;37581;12200;
DENTSPLY SIRONA FRANCE;Professionnel de santé;37579;0;3250
VITALAIRE;Etudiant;37431;33562;
Elanco France SAS;Vétérinaire;37257;0;2400
HEMA.T MEDICAL;Professionnel de santé;37166;0;
HEMA.T MEDICAL;Académies, Fondation, sociétés savantes, organismes de conseils;37160;;
PETERS SURGICAL;Professionnel de santé;37138;4342;2000
Sirtex Medical Europe GmbH;Professionnel de santé;37051;28550;28100
Integra LifeSciences Services (France);Etudiant;36967;0;
LEO Pharma;Académies, Fondation, sociétés savantes, organismes de conseils;36550;3837357;3644532
Coloplast Manufacturing France;Etablissement de santé;36273;;
ISIS MARTINIQUE;Professionnel de santé;36161;;
SEIKO OPTICAL FRANCE;Professionnel de santé;35974;;
Dechra Veterinary Products SAS;Vétérinaire;35773;4442;
LABORATOIRE JALDES;Professionnel de santé;35683;0;15360
NOVARTIS PHARMA SAS;Presse et média;35410;1657440;2374604
ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.;Professionnel de santé;35263;;186973
HOLOGIC;Professionnel de santé;35144;3000;12600
INTEGRAL ORTHO;Professionnel de santé;35104;;
AX'AIR MEDICAL;Professionnel de santé;35072;40540;
ATOS MEDICAL SAS;Professionnel de santé;35053;35453;
GUERBET France;Etudiant;35051;11808;
THE BINDING SITE GROUP LTD;Professionnel de santé;35035;;
SANOFI PASTEUR;Personnes morales assurant la formation initiale ou continue des professionnels de santé;35000;0;9000
SOS OXYGENE PARTICIPATIONS;Académies, Fondation, sociétés savantes, organismes de conseils;35000;;
MENICON SAS;Professionnel de santé;34823;7262;19750
VIFOR FRANCE SA;Etudiant;34752;1226;
Varian Medical Systems France Sarl;Association professionnel de santé;34680;22750;
VEXIM SA;Professionnel de santé;34667;0;
KERI MEDICAL SA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;34130;;
BIOGARAN;Presse et média;34120;1333960;1114329
Mérieux Université;Professionnel de santé;33794;152048;107001
Laboratoires URSAPHARM SAS;Professionnel de santé;33781;;
VIVISOL France;Professionnel de santé;33519;221851;
SANOFI AVENTIS FRANCE;Presse et média;33480;0;3773638
MYLAN MEDICAL SAS;Association professionnel de santé;33450;77981;215852
TELEFLEX MEDICAL SAS;Etablissement de santé;33403;14950;
CORIN FRANCE;Etablissement de santé;33210;33210;
TERUMO FRANCE SAS;Etudiant;33185;5490;
GRIFOLS France;Académies, Fondation, sociétés savantes, organismes de conseils;33000;0;14730
PHONAK FRANCE;Etudiant;32829;;
INSULET FRANCE;Professionnel de santé;32760;2250;7050
LFB BIOMEDICAMENTS;Etudiant;32591;31529;
Zogenix International Limited;Professionnel de santé;32378;15547;33100
Merit Medical France;Association professionnel de santé;32000;50154;12094
MELLITUS CARE;Association professionnel de santé;31900;;
MicroVention Europe;Etudiant;31735;50115;
horus pharma;Etudiant;31549;1650;
EUMEDICA s.a.;Professionnel de santé;31513;0;1500
ISIS COTE D'AZUR;Professionnel de santé;31440;;
PENTAX MEDICAL;Professionnel de santé;31395;26848;
EXACTECH INTERNATIONAL OPERATION Ltd.;Professionnel de santé;31342;0;149675
Neo Medical S.A.;Professionnel de santé;31008;249435;57000
VITALAIRE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;31000;26500;1000
FX SOLUTIONS;Professionnel de santé;30822;;
THERAKOS UK Ltd;Professionnel de santé;30787;13993;20056
DIAGAST;Professionnel de santé;30596;;
OptiMed SARL;Association professionnel de santé;30557;18464;18420
PTC Therapeutics International Ltd;Professionnel de santé;30307;6525;
LABORATOIRES URGO HEALTHCARE;Professionnel de santé;30167;;
Spectrum Dynamics Medical SA;Professionnel de santé;30129;23700;4800
SHIRE INTERNATIONAL;Professionnel de santé;30094;57564;41011
ORMCO FRANCE SAS;Professionnel de santé;30079;2265;77400
MEDICAL INNOVATION DEVELOPPEMENT;Professionnel de santé;30071;;
Agfa HealthCare France SA;Association professionnel de santé;30000;;
ISIS MEDICAL PARIS;Association professionnel de santé;30000;;
LVL MEDICAL GROUPE;Etablissement de santé;30000;30000;
LVL MEDICAL PARIS ET NORD;Académies, Fondation, sociétés savantes, organismes de conseils;30000;;
LVL MEDICAL PARIS ET NORD;Etablissement de santé;30000;13200;
MERCK SERONO;Académies, Fondation, sociétés savantes, organismes de conseils;30000;131770;128770
SANOFI-AVENTIS GROUPE;Association professionnel de santé;30000;0;543342
SHIRE France S.A.;Académies, Fondation, sociétés savantes, organismes de conseils;30000;403564;593971
Accuray Europe;Professionnel de santé;29903;0;18131
LIMA FRANCE;Professionnel de santé;29752;4100;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Presse et média;29740;3400;
DIASORIN SA;Professionnel de santé;29499;4361;4071
Takeda France;Etablissement de santé;29448;53323;55237
EXPERF AQUITAINE;Professionnel de santé;29418;0;
Mathys Orthopédie;Professionnel de santé;29376;0;
MUNDIPHARMA;Association usager de santé;29000;0;
Carl Zeiss Vision France;Professionnel de santé;28794;13276;
ADVANCED BIONICS SARL;Association usager de santé;28527;29350;
MICRO-MEGA;Association professionnel de santé;28424;11654;
STRYKER FRANCE SAS;Etablissement de santé;28371;20126;
ASPEN FRANCE;Association professionnel de santé;28200;103405;70105
LES LABORATOIRES OSTEAL MEDICAL;Association professionnel de santé;28200;;
ASTRAZENECA;Etablissement de santé;28059;13298630;2383898
SERB;Professionnel de santé;28042;0;
Laboratoires Lohmann & Rauscher;Professionnel de santé;27948;21515;2028
STRAUB MEDICAL (France);Professionnel de santé;27723;;
UPSA SAS;Professionnel de santé;27717;116016;8136
VASCUTEK FRANCE;Etudiant;27626;0;
BIOGEN FRANCE SAS;Etudiant;27610;0;
JAZZ PHARMACEUTICALS FRANCE;Association professionnel de santé;27558;89658;32100
CHUGAI PHARMA FRANCE;Association usager de santé;27500;;
Octapharma France;Etablissement de santé;27500;0;63516
OLYMPUS EUROPA SE & CO. KG;Professionnel de santé;27159;452;1500
SPINEVISION;Professionnel de santé;27112;;
LVL MEDICAL CENTRE EST;Professionnel de santé;27079;19432;
LABORATOIRE GLAXOSMITHKLINE;Association professionnel de santé;27065;1007954;1361790
Sarepta International France;Association professionnel de santé;27000;0;2475322
AUDITION SANTE;Professionnel de santé;26946;;
FRESENIUS KABI FRANCE;Etudiant;26884;680;
LABORATOIRE DES GRANIONS;Professionnel de santé;26813;592;
Medicare_HTM;Professionnel de santé;26574;25448;
HIPRA FRANCE;Vétérinaire;26507;;
UPSA SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;26384;;
SOS OXYGENE MEDITERRANEE;Professionnel de santé;26376;0;
LivaNova SAS;Etablissement de santé;26298;27400;
BRISTOL-MYERS SQUIBB COMPANY;Académies, Fondation, sociétés savantes, organismes de conseils;26297;311791;559522
LES LABORATOIRES SERVIER;Etudiant;26294;0;75950
ADLER ORTHO France;Professionnel de santé;26279;0;
LVL MEDICAL CENTRE EST;Association professionnel de santé;26250;19200;
Transgene SA;Etablissement de santé;26206;1191757;131295
GETINGE France;Etudiant;25805;15502;
THERADIAL SAS;Association usager de santé;25700;;
LABORATOIRES OMEGA PHARMA FRANCE;Professionnel de santé;25635;;
LIMA FRANCE;Association professionnel de santé;25312;;
LABORATOIRES BROTHIER;Professionnel de santé;25259;4000;4000
RESPIO2;Professionnel de santé;25170;1196;
CELGENE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;25168;2658074;3593771
TERUMO FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;25019;;
AKCEA THERAPEUTICS FRANCE;Association usager de santé;25000;0;
Alnylam Pharmaceuticals International;Académies, Fondation, sociétés savantes, organismes de conseils;25000;114687;123496
Laboratoire CCD;Personnes morales assurant la formation initiale ou continue des professionnels de santé;24991;60;
PAREXEL International;Professionnel de santé;24816;184176;120572
SOS OXYGENE AUVERGNE;Professionnel de santé;24718;0;
SOS OXYGENE ILE DE FRANCE NORD- Gennevilliers;Professionnel de santé;24640;0;
MANTARAY;Professionnel de santé;24628;0;
AADAIRC;Professionnel de santé;24571;14303;
EDWARDS LIFESCIENCES CORPORATION;Professionnel de santé;24559;0;16667
COOPERVISION SAS;Professionnel de santé;24514;;
Orion Corporation Orion Pharma;Professionnel de santé;24486;8300;3650
AMGEN SAS;Etudiant;24374;0;
AUDEVARD;Vétérinaire;24307;0;
FISHER & PAYKEL HEALTHCARE SAS;Professionnel de santé;24217;1370;16900
AIR LIQUIDE SANTE FRANCE;Association professionnel de santé;24100;29470;
